movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
10000,Иезавель,7.411,104,518.0,1938,7.6,8585.0,"драма, мелодрама",США,$1 250 000,94.0,Jezebel
10005,Живем один раз,7.168,86,330.0,1937,7.4,3812.0,"фильм-нуар, драма, криминал",США,$575 000,100.0,You Only Live Once
10033,Исход,6.599,208,193.0,1960,6.8,6618.0,"боевик, драма, военный, история",США,$4 000 000,62.0,Exodus
10055,Бумеранг!,6.906,88,153.0,1947,7.3,2680.0,"фильм-нуар, драма, криминал",США,$1 140 000,75.0,Boomerang!
100552,Крик совы,6.395,91,640.0,2006,5.6,6147.0,"комедия, приключения, семейный",США,$15 000 000,26.0,Hoot
1006,Подозрение,7.508,99,2146.0,1941,7.5,22794.0,"триллер, детектив",США,$1 800 000,100.0,Suspicion
10074,Рождественские каникулы,7.154,97,6694.0,1989,7.6,98361.0,"комедия, семейный",США,$27 000 000,64.0,Christmas Vacation
10079,Тора! Тора! Тора!,7.544,144,803.0,1970,7.5,24305.0,"военный, история, боевик, драма","Япония, США",$25 000 000,59.0,Tora! Tora! Tora!
10105,На холостом ходу,7.633,116,531.0,1988,7.7,9725.0,"драма, мелодрама, криминал, музыка",США,$3 000 000,85.0,Running on Empty
1012,Ганга Дин,6.461,117,198.0,1939,7.5,8539.0,"приключения, военный",США,$1 910 000,92.0,Gunga Din
10120,Ростовщик,7.549,116,261.0,1964,7.8,5762.0,драма,США,$500 000,100.0,The Pawnbroker
10136,Супергёрл,5.034,120,636.0,1984,4.3,13435.0,"фантастика, фэнтези, боевик, приключения","Великобритания, США",$35 000 000,7.0,Supergirl
10156,Как украсть миллион,8.242,123,48124.0,1966,7.6,16484.0,"мелодрама, комедия, криминал",США,$6 000 000,100.0,How to Steal a Million
10157,Кулик,7.255,117,150.0,1965,6.2,2005.0,драма,США,$5 300 000,10.0,The Sandpiper
1017,Топпер,6.668,97,146.0,1937,7.4,4921.0,"фэнтези, мелодрама, комедия",США,$500 000,94.0,Topper
101711,16 кварталов,7.223,105,20751.0,2006,6.6,109367.0,"боевик, триллер, драма, криминал","Германия, США",$52 000 000,55.0,16 Blocks
10174,Лев пустыни,7.347,173,176.0,1981,8.4,9033.0,"драма, военный, биография, история","Ливия, США",$35 000 000,80.0,Lion of the Desert
10198,Грек Зорба,7.844,142,658.0,1964,7.8,14752.0,"драма, приключения","Греция, США",$783 000,86.0,Alexis Zorbas
102122,Линкольн,6.923,150,22969.0,2012,7.4,184772.0,"драма, военный, биография, история","США, Индия",$65 000 000,90.0,Lincoln
